brand,keywords,alias,category1,category2,category3,score
UMILD,manknowsbetter,manknowsbetter,Brand Message,Undefined,Undefined,1
UMILD,menknowsbetter,manknowsbetter,Brand Message,Undefined,Undefined,1
UMILD,manknowbetter,manknowsbetter,Brand Message,Undefined,Undefined,1
UMILD,menknowbetter,manknowsbetter,Brand Message,Undefined,Undefined,1
MAGNUM,Magnumotion,magnum,Brand Message,Undefined,Undefined,1
MAGNUM,magnum,magnum,Product/Brand Mention,Undefined,Undefined,3
MAGNUM,magnumfilter,magnum,Product/Brand Mention,Undefined,Undefined,3
MAGNUM,magnummild,magnum,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,magicmahakam,magicmahakam,Activity/engagement,Lokal,KOL Area,3
MARLBORO,magicmahakam,magicmahakam,Activity/engagement,Lokal,KOL Nasional,3
UMILD,kodecowok,kodecowok,Brand Message,Undefined,Undefined,1
UMILD,kodecowo,kodecowok,Brand Message,Undefined,Undefined,1
UMILD,kodecowok,kodecowok,Brand Message,Undefined,Undefined,1
UMILD,kodecowo,kodecowok,Brand Message,Undefined,Undefined,1
UMILD,kalausukagaktakutbayar,kalausukagaktakutbayar,Brand Message,Undefined,Undefined,1
UMILD,kalausukagatakutbayar,kalausukagaktakutbayar,Brand Message,Undefined,Undefined,1
UMILD,kalaubisadapatlebihkenapaengga,kalaubisadapatlebihkenapaengga,Brand Message,Undefined,Undefined,1
UMILD,kalaubisadapetlebihkenapanggak,kalaubisadapatlebihkenapaengga,Brand Message,Undefined,Undefined,1
UMILD,kalausukagatakutbayar,kalausukagaktakutbayar,Brand Message,Undefined,Undefined,1
UMILD,kalausukagaktakutbayar,kalausukagaktakutbayar,Brand Message,Undefined,Undefined,1
MARLBORO,idecide,idecide,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,idecideto,idecide,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,idecidetoevolve,idecide,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,iceblast,iceblast,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,iceblast,iceblast,Product/Brand Mention,Undefined,Undefined,3
umild,goaheadpeoplebali,goaheadpeople,Activity/engagement,Lokal,KOL Area,3
AMILD,artopsyxgoahead,goaheadpeople,Activity/engagement,Lokal,KOL Area,3
AMILD,mygoahead,goaheadpeople,Activity/engagement,Lokal,KOL Area,3
amild,goaheadpeoplebali,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheaadpalembang,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goahead,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadbali,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadchallange,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadchallenge,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadchallenge2017,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadchallengefestival,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadjakarta,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadjkt,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadmoment,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpalembang,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpekanbaru,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeople,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplebali,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplebanjarmasin,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplebdg,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplebkt,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplebogor,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeopleeast,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplejogja,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplekediri,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplemakassar,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplemalang,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplemanado,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplepadang,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplepalembang,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplepku,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplepyk,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplesamarinda,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplesmg,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeoplesurabaya,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeopletasik,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadpeopleyk,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadsemarang,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadsmg,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,goaheadversigue,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,iklangoahead,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,itsmygoahead,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,thisismygoahead,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,thisismygoaheadjakarta,goaheadpeople,Brand Message,Undefined,Undefined,1
AMILD,cakapgac,gac,Activity/engagement,Lokal,KOL Area,3
AMILD,gac2017,gac,Activity/engagement,Lokal,KOL Nasional,3
AMILD,gacfest,gac,Activity/engagement,Lokal,KOL Area,3
AMILD,gacfestbdg,gac,Activity/engagement,Lokal,KOL Nasional,3
AMILD,gacfestival,gac,Activity/engagement,Lokal,KOL Nasional,3
AMILD,gacfestival2017,gac,Activity/engagement,Lokal,KOL Nasional,3
AMILD,gacfestyk,gac,Activity/engagement,Lokal,KOL Nasional,3
AMILD,GACFestYK,gac,Activity/engagement,Lokal,KOL Nasional,3
AMILD,gacjourney,gac,Activity/engagement,Lokal,KOL Area,3
MARLBORO,frekuensiantarabali,frekuensiantara,Activity/engagement,Lokal,KOL Area,3
MARLBORO,frekuensiantara,frekuensiantara,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,filterblack,filterblack,Product/Brand Mention,Undefined,Undefined,3
AMILD,experiencewhatnext,experiencewhatnext,Brand Message,Undefined,Undefined,1
AMILD,experiencewhatsnext,experiencewhatnext,Brand Message,Undefined,Undefined,1
MARLBORO,djakartawarehouseproject,dwp,Activity/engagement,Nasional,KOL Area,3
MARLBORO,djakartawarehouseproject2016,dwp,Activity/engagement,Nasional,KOL Area,3
MARLBORO,dwp2016,dwp,Activity/engagement,Nasional,KOL Area,3
MARLBORO,doubledeermusic,doubledeer,Activity/engagement,Lokal,KOL Nasional,3
MARLBORO,decideyouflow,decideyouflow,Activity/engagement,Lokal,KOL Area,3
MARLBORO,decideyourflow,decideyouflow,Activity/engagement,Lokal,KOL Nasional,3
UMILD,cowolebihtau,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,Cowolebihtau,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoumild,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,CowoUMildLebihTau,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoumild,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowou-mild,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowokumid,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowokumild,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowokumild,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoku-mild,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowokumildlebihtau,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoklebihtahu,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoklebihtau,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowokumild,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowokumildlebihtau,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowolebihtahu,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoumild,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoumildlebihtau,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoklebihtau,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowolebihtahu,cowolebihtau,Brand Message,Undefined,Undefined,1
UMILD,cowoklebihtahu,cowolebihtau,Brand Message,Undefined,Undefined,1
MARLBORO,blackmenthol,blackmenthol,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,blackmentol,blackmenthol,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,blackmenthol,blackmenthol,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,blackmentol,blackmenthol,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,blekmentol,blackmenthol,Product/Brand Mention,Undefined,Undefined,3
MARLBORO,blekmentol,blackmenthol,Product/Brand Mention,Undefined,Undefined,3
UMILD,bersaudaraitusoalrasa,bersaudaraitusoalrasa,Brand Message,Undefined,Undefined,1
UMILD,bersaudaraitusoalrasa,bersaudaraitusoalrasa,Brand Message,Undefined,Undefined,1
UMILD,bersaudarasoalrasa,bersaudaraitusoalrasa,Brand Message,Undefined,Undefined,1
AMILD,avolution,avolution,Product/Brand Mention,Undefined,Undefined,3
AMILD,avolutionmenthol,avolution,Product/Brand Mention,Undefined,Undefined,3
AMILD,avolutionmild,avolution,Product/Brand Mention,Undefined,Undefined,3
AMILD,avolutionmenthol,avolution,Product/Brand Mention,Undefined,Undefined,3
AMILD,avolutionmild,avolution,Product/Brand Mention,Undefined,Undefined,3
AMILD,amildzone,amild,Activity/engagement,Lokal,KOL Area,3
AMILD,lepamild,amild,Activity/engagement,Lokal,KOL Area,3
AMILD,iklanamild,amild,Brand Message,Undefined,Undefined,1
amild,amildplatinum,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,amild,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,amildlep,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,amildmentholburst,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,amildplatinum,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,sampoernamild,amild,Product/Brand Mention,Undefined,Undefined,3
AMILD,borneoindiechannel,borneoindiechannel,Account,Undefined,Undefined,1
AMILD,hanalana,hanalana,Account,Undefined,Undefined,1
marlboro,dewataproject,dewataproject,Activity/engagement,Lokal,KOL Nasional,3
amild,1000kota1bahasa,1000kota1bahasa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,1000sumbart,1000sumbart,Activity/engagement,Lokal,KOL Area,3
AMILD,100kota1bahasa,100kota1bahasa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,100kota1bahasabogor,100kota1bahasabogor,Activity/engagement,Lokal,KOL Area,3
AMILD,1015musicians,1015musicians,Activity/engagement,Lokal,KOL Nasional,3
AMILD,1bahasabogor,1bahasabogor,Activity/engagement,Lokal,KOL Area,3
AMILD,5hari5malam,5hari5malam,Activity/engagement,Lokal,KOL Area,3
AMILD,acreate,acreate,Activity/engagement,Lokal,KOL Nasional,3
AMILD,afrontmedan,afrontmedan,Activity/engagement,Lokal,KOL Area,3
AMILD,ahadberkelir,ahadberkelir,Activity/engagement,Lokal,KOL Nasional,3
AMILD,ajengxiga,ajengxiga,Activity/engagement,Lokal,KOL Area,3
AMILD,allyoucanart,allyoucanart,Activity/engagement,Lokal,KOL Area,3
AMILD,aphoria,aphoria,Activity/engagement,Lokal,KOL Nasional,3
AMILD,aphoriamedan,aphoriamedan,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artcosystem,artcosystem,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artgasm,artgasm,Activity/engagement,Lokal,KOL Area,3
AMILD,artgasmproject,artgasmproject,Activity/engagement,Lokal,KOL Area,3
AMILD,artmoshpit,artmoshpit,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artospora,artospora,Activity/engagement,Lokal,KOL Area,3
AMILD,artwarding,artwarding,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artwardingnight,artwardingnight,Activity/engagement,Lokal,KOL Nasional,3
AMILD,artwardingnight2017,artwardingnight2017,Activity/engagement,Lokal,KOL Nasional,3
AMILD,asquad,asquad,Activity/engagement,Lokal,KOL Area,3
AMILD,assicks,assicks,Activity/engagement,Lokal,KOL Area,3
AMILD,atagbdg,atagbdg,Activity/engagement,Lokal,KOL Nasional,3
AMILD,atagmusic,atagmusic,Activity/engagement,Lokal,KOL Area,3
AMILD,atagphotography,atagphotography,Activity/engagement,Lokal,KOL Area,3
AMILD,atagvisual,atagvisual,Activity/engagement,Lokal,KOL Area,3
AMILD,atlasroom,atlasroom,Activity/engagement,Lokal,KOL Area,3
AMILD,averland,averland,Activity/engagement,Lokal,KOL Area,3
AMILD,azone,azone,Activity/engagement,Lokal,KOL Nasional,3
AMILD,azonekalianda,azonekalianda,Activity/engagement,Lokal,KOL Nasional,3
AMILD,azonewarnong,azonewarnong,Activity/engagement,Lokal,KOL Area,3
AMILD,bahasbatas,bahasbatas,Activity/engagement,Lokal,KOL Nasional,3
AMILD,bajaklensa,bajaklensa,Activity/engagement,Lokal,KOL Nasional,3
AMILD,baykxserufo,baykxserufo,Activity/engagement,Lokal,KOL Nasional,3
AMILD,bejanakarya,bejanakarya,Activity/engagement,Lokal,KOL Area,3
AMILD,bergerakbersama,bergerakbersama,Activity/engagement,Lokal,KOL Area,3
AMILD,berisikapik,berisikapik,Activity/engagement,Lokal,KOL Nasional,3
AMILD,berkaryatanpasekat,berkaryatanpasekat,Activity/engagement,Lokal,KOL Area,3
AMILD,bersamaberkaryabebas,bersamaberkaryabebas,Activity/engagement,Lokal,KOL Area,3
