Source,date,ECC,ACC,Convo
TW,06-01-2018,0,PRIMA RAMADHAN,Panggung pertama di 2018. @DjarumCoklat #shoutoutday Cimahi HAJAR JALANAN 👊🏼 https://t.co/qzcBV7KS0k
TW,06-01-2018,0,SAVE BETTER,Subang bersiap lah berparty regranned from @djarumcoklat - Bhinneka Tunggal Ika (BTI) kembali… https://t.co/RcbplsyQU9
TW,06-01-2018,1,HUMANLABRATS,"Segera, Album Terbaru dari Se | Berita Musik Indie https://t.co/vy2hloKkQj lewat @Djarumcoklat"
TW,06-01-2018,0,HUMANLABRATS,"Penggambaran ""Legacy"" dalam V | Berita Musik Indie https://t.co/16RayAMHJ4 lewat @Djarumcoklat"
TW,06-01-2018,0,DCDC,Galeri DCDC SUBSTEREO Episode 55: The Fox and The Thieves https://t.co/xDo4nJ1Wm0
TW,06-01-2018,8,DCDC,Udah nonton video clipnya Hellcrust - Janji Api? Saksikan disini Coklatfriends! https://t.co/etqFNpflsx
TW,06-01-2018,0,HUMANLABRATS,Mengulas Sepintas Perjalanan | Artikel Musik Indie https://t.co/Ne6JFrNZrf lewat @Djarumcoklat
TW,06-01-2018,0,Silo,Udah dong RT @DjarumCoklat: Udah nonton video clipnya Hellcrust - Janji Api? Saksikan disini Coklatfriends! https://t.co/xZNYD2ZLBT
TW,06-01-2018,18,DCDC,"Muncul sebagai perhelatan musik berbentuk tur, Jasad menjadi sosok besar dibalik tajuk Bhinneka Tunggal Ika (BTI).… https://t.co/Qh3EwJRX1Z"
TW,06-01-2018,0,HUMANLABRATS,DCDC ShoutOut! Day Highlight | Artikel Musik Indie https://t.co/2A3ULw6k1x lewat @Djarumcoklat
TW,06-01-2018,24,Super Music,Burgerkill sedang mempersiapkan album kelima. Tengok bocorannya di sini! https://t.co/W6lxEWn8W7
TW,06-01-2018,15,Super Music,#BotnToday 1986: Frontman @ArcticMonkeys hari ini berusia 32 tahun. Happy Birthday Alex Turner! https://t.co/mwriY8qYJU
TW,06-01-2018,2,Super Music,The Vaccines rilis single ‘I Can’t Quit’ dari album terbaru https://t.co/ETFoJINjn0
TW,08-01-2018,2,DCDC,Grup muda bernama Hockey Hook menyatakan akan membuat sebuah eksperimen baru untuk genre yang sudah lumayan lumrah… https://t.co/E7ATMKAoK8
TW,08-01-2018,1,MANS Entertainment,@nath_thelions performed Y.E.S.S.A.A.H at @DjarumCoklat #Naththelions #teMANSinga #positive #vibes #mind #life… https://t.co/3qX6DeknT2
TW,08-01-2018,3,DCDC,"Salah satu karya anak bangsa kembali muncul, kali ini kabar tersebut datang dari Voodoo Dolls. Grup beraliran pop i… https://t.co/Ku7RrhTl8D"
TW,08-01-2018,0,PANDA STIFLER,HOT NEWS!!!! #Repost @djarumcoklat (get_repost) ・・・ Setelah menelurkan album bertajuk Legacy… https://t.co/5lOZzbuYQ7
TW,08-01-2018,0,DCDC,"DCDC Substereo kembali memperkenalkan @5petani_bjs, salah satu grup instrumental asal Kota Bandung. Dengarkan live… https://t.co/YVVkendZhc"
TW,08-01-2018,0,DCDC,"Salah satu grup musik muda asal Tangerang, Manumanasa baru saja rilis single terbarunya. Karya tersebut berjudul “M… https://t.co/uuoBLEsVIz"
TW,08-01-2018,4,DCDC,"Baru saja, salah satu grup musik beraliran cadas asal Kota Semarang merilis album terbarunya. Grup musik tersebut a… https://t.co/pfzK7E1lHA"
TW,08-01-2018,0,Super Music,@kinggizzardband rilis 5 album sekaligus di 2017 https://t.co/KsWEvlPY2C
TW,08-01-2018,7,Super Music,"“I'm not a prophet or a stone aged man, just a mortal with potential of a superman. I'm living on.” Happy Birthda… https://t.co/WGzzfulrsF"
TW,08-01-2018,5,Super Music,SuperMusicID Live in Concerts: Padi REBORN! 12 Jan 2018: Taman Chandra Wilwatikta Pandaan . 20 Jan 2018: Stadion K… https://t.co/bp13nv99e6
TW,08-01-2018,3,Super Music,"Jelang album baru, @dimmuborgir sebar EP dalam format piringan hitam https://t.co/54HsHIu0Hw"
TW,08-01-2018,12,Super Music,Perkembangan Thrash Metal di Los Angeles medio '80-an terekam dalam film dokumenter https://t.co/tlfpqlmLxY
TW,08-01-2018,3,Super Music,Kisah studio rekaman legendaris di Jerman segera diangkat ke dalam dokumenter https://t.co/mTfM0l0RJW
TW,08-01-2018,0,STANDAR SATU,Serang🔥#BantenIndieClothing #MobileStage #SuperMusicID 📷: @aldisuherlandi . . . Marijuangkan! . . . #standarsatu… https://t.co/47gigVsuUo
TW,08-01-2018,2,HaloMalang.com,Live In Concert Padi Reborn | 20 Januari 2018 | Stadion Kanjuruhan Malang | Tiket Presale 10rb free produk | WA : 0… https://t.co/cdWCotFbC2
TW,08-01-2018,0,HaloMalang.com,Live In Concert Padi Reborn | 20 Januari 2018 | Stadion Kanjuruhan Malang | Tiket Presale 10rb free produk | WA : 0… https://t.co/vp04k7NCa1
TW,08-01-2018,0,STANDAR SATU,#BantenIndieClothing #MobileStage #SuperMusicID 📷: @aldisuherlandi . . . Marijuangkan! . . . #standarsatu… https://t.co/h30ZyeOJgg
TW,08-01-2018,0,STANDAR SATU,#BantenIndieClothing #MobileStage #SuperMusicID 📷: @aldisuherlandi . . . Marijuangkan! . . . #standarsatu… https://t.co/JTzCs5Ic4e
TW,08-01-2018,0,STANDAR SATU,@agustiandaiman (BJORN) #BantenIndieClothing #MobileStage #SuperMusicID 📷: @aldisuherlandi . . . Marijuangkan! . .… https://t.co/yk8CZOrFX8
TW,08-01-2018,0,STANDAR SATU,Posisi bass dibantu oleh @trifajaralhajji (GREEN COCONUT) #BantenIndieClothing #MobileStage #SuperMusicID 📷:… https://t.co/xNbAwhMduh
TW,08-01-2018,1,HaloMalang.com,Live In Concert Padi Reborn | 20 Januari 2018 | Stadion Kanjuruhan Malang | Tiket Presale 10rb free produk | WA : 0… https://t.co/draMQltMRv
TW,10-01-2018,0,Look's Like,Selamat pagii..semangat sarapan Cianjur&amp;kota kota tetangga kita berjumpa yess #DCDCBhinnekaTunggalIka… https://t.co/Tkes9efs1K
TW,10-01-2018,1,Hellshow Festival,Meeting Hellshow 2018.. Get ready guys!🤘🏼 . @burgerkill @djarumcoklat atap_promotions… https://t.co/mAi9zGkUx2
TW,10-01-2018,0,-nath thelions-,@DjarumCoklat #MUSIKKITA @OfficialGTVID https://t.co/aLYNa8axM8 #yessaah #teMANSinga
TW,10-01-2018,2,sendy,Mendandani Degung Sunda | Artikel Musik Indie https://t.co/vj3sZQuOBg lewat @Djarumcoklat
TW,10-01-2018,6,DCDC,"Reportase : Gabungan Dua Kelompok Experimenal Rock Asal Kota Kembang, ‘Rubah Suara’ https://t.co/5edaqXXDK5"
TW,10-01-2018,7,DCDC,"Titik pertama dari gelaran BHINNEKA TUNGGAL IKA - LIMAN SOKA bersama @Jasad_bdm akan hadir di Cianjur! . Jumat, 12… https://t.co/hoiEdWXDqz"
TW,10-01-2018,3,The Fox & The Thieves,@SUPERFINE_Band X @THIEVFOX Early Showcase Tour articel reviewed by @DjarumCoklat enjoy comrades! https://t.co/cOXN05pZIa
TW,10-01-2018,10,DCDC,Jasad Segera Melibas Enam Kota Lewat “Bhinneka Tunggal Ika – Liman Soka” https://t.co/Nsw76qEMBX
TW,10-01-2018,7,Super Music,"Warga Madiun, Bojonegoro &amp; Situdbondo, jangan lewatkan kemeriahan selanjutnya! #SuperMusicID Live in Concert: KOTA… https://t.co/kdmvFjfUcv"
