,type_post,username,name,following_count,follower_count,user_id,post_id,caption,timestamp,date_post,comment_count,like_count,retweet_count,user_likes,video_view,display_url,is_video,link,link.1,Brand,Likes_TW,Keyword/Hashtag,replies_count,Owner ID,source,ID
57329,,yan_giyan,,5064,2659,','2111484155,'Mari menyanyikan lagu kebangsaanðŸ‘  cowolebihtau  tipexofficial ,13-08-18,,0.0,11.0,,,,,,,,Umild,,cowolebihtau,,,IG,
57330,,blkbpollan29,,4472,948,','7909011468,"' Repost  hairnerdsstudio ( get_repost) ãƒ»ãƒ»ãƒ» hallo guys,, bagi kalian yg mau mendapatkan penampilan maksimal buruan kalian ikuti give away dibawah ini secepatnya dan langsung dapatkan prodaknya freestyle dust di  hairnerdsstudio  thanks ðŸ˜‰  kelvindah  rizqymuh  limaenaam  ajokhudun  afiesramiro  dionputra Syaratnya :  1. Repost Photo ini di instagram kalian. 2. Tag  hairnerdsstudio dan  parjo_id beserta 5 teman kalian. 3. Tulis caption menarik tentang rambut dengan tema  cowolebihtau  â€¢ Hadiah dapat kalian ambil di â€œUnitypitstop X PARJO PADANGâ€ SABTU, 4 AGUSTUS 2018 LAP. IMAM BONJOL, PADANG â€¢ See you at  unitypitstopxparjo ðŸ¤—ðŸ¤—  cowolebihtau  respeknomorsatu  unitypitstop  unitypitstopxparjo  unitypitstoppadang  kawanparjo  parjo2018  parjo  parjopadang  eventpadang isengisengberhadiahbui ",04-08-18,,0.0,11.0,,,,,,,,Umild,,respeknomorsatu,,,IG,
57331,,jumadi_anto,,1105,681,','5341623373,'Stic v 14 solok j_adi Respect Riding  parjo_id   cowoklebihtau  respeknomorsatu  respectnightshift  unityrespectchallenge  unitypitstopxparjo  parjo2018  parjopadang ,04-08-18,,0.0,11.0,,,,,,,,Umild,,respeknomorsatu,,,IG,
57332,,yuniartokwee,,712,1690,','2102686915,' CowoLebihTauTangerang  UnityPitstop  RespekNomorSatu ,28-07-18,,0.0,11.0,,,,,,,,Umild,,unitypitstop,,,IG,
57333,,zulfikar_itulah_namaku,,3793,810,','1933793624,'  cowoklebihtau   respeknomorsatu   unitypoint ,13-05-18,,0.0,11.0,,,,,,,,Umild,,,,,IG,
57334,,adimasti,,2951,2291,','5698837995,' cowolebihtau  respeknomorsatu  respectnightshift  unityrespectchallenge  unityteambungo ,03-08-18,,0.0,10.0,,,,,,,,Umild,,respeknomorsatu,,,IG,
57335,,afidf,,434,2304,','nan,' UNITYPITSTOPDEPOK  UNITYPITSTOP  COWOLEBIHTAHU  RESPEKNOMORSATU ,02-05-18,,0.0,10.0,,,,,,,,Umild,,cowolebihtahu,,,IG,
57336,,afree_021,,3043,2594,','8215056734,' Ayo cebong mari kita kemon   hsfcisampit  cowolebihtau  respectnomorsatu  lebihberasaberasalebih  cebongqyu ,18-07-18,,0.0,10.0,,,,,,,,Umild,,,,,IG,
57337,,alhoy_minions,,5810,1379,','6647301694,'  cowolebihtaukarawang  respeknomersatu omorsatu  unitypitstop ,07-07-18,,0.0,10.0,,,,,,,,Umild,,,,,IG,
57338,,andiachyar,,4469,739,','6368299385,'Ingin hilang ingatan ðŸ˜„ðŸ˜„ Thanks for bang Askaa  rocket_rockers .   cowolebihtautangerang   unitypitstop   RespeckNomorSatu   cheersfromrocketrockers   sahabatrrselamanya   roketrokers ,29-07-18,,0.0,10.0,,,,,,,,Umild,,unitypitstop,,,IG,
